ID,Name,AnimalType,AgeuponOutcome,Breed,Color,Sex,Neutered,Year,Month,Day,Hour,Minute
38,Has Name,Dog,9,Hybrid,Black,Male,Neutered,2015,12,26,17,30
39,Has Name,Dog,208,Hybrid,Tan,Female,Neutered,2015,12,30,15,57
40,No Name,Dog,52,Hybrid,Gold,Male,Neutered,2014,2,6,14,19
41,Has Name,Dog,40,Hybrid,Tricolor,Female,Intact,2015,10,31,16,2
42,No Name,Cat,0,Hybrid,Orange,Male,Intact,2014,5,13,13,23
43,Has Name,Cat,52,Hybrid,Black,Female,Neutered,2013,12,22,12,37
44,No Name,Cat,2,Hybrid,Blue,Male,Intact,2013,10,16,11,50
45,No Name,Cat,104,Hybrid,Blue,Male,Neutered,2014,4,10,12,13
46,No Name,Dog,104,Hybrid,Tricolor,Female,Neutered,2014,2,24,14,57
47,Has Name,Cat,156,Hybrid,Orange,Female,Neutered,2014,3,7,12,42
48,Has Name,Dog,104,Hybrid,Brown,Male,Neutered,2015,11,14,15,52
49,Has Name,Dog,208,Hybrid,White,Female,Neutered,2015,7,27,13,6
50,Has Name,Dog,31,Hybrid,Chocolate,Male,Intact,2015,5,8,15,1
51,Has Name,Cat,13,Hybrid,Blue,Male,Intact,2015,7,29,13,31
52,Has Name,Dog,468,Hybrid,Black,Female,Neutered,2014,7,27,11,26
53,Has Name,Cat,9,Hybrid,Brown,Male,Neutered,2015,5,30,16,41
54,Has Name,Cat,4,Hybrid,Blue,Female,Intact,2014,10,7,16,8
55,No Name,Cat,156,Hybrid,White,Female,Unknown,2015,1,3,17,35
56,Has Name,Cat,468,Hybrid,Brown,Female,Neutered,2015,10,12,16,50
57,Has Name,Dog,52,Hybrid,Brown,Male,Neutered,2016,1,27,17,51
58,No Name,Cat,1,Hybrid,Tortie,Female,Unknown,2015,6,30,12,22
59,No Name,Cat,104,Hybrid,Tortie,Female,Intact,2015,4,18,9,0
60,Has Name,Dog,9,Hybrid,Black,Male,Neutered,2015,9,9,13,55
61,No Name,Dog,104,Hybrid,White,Male,Neutered,2014,7,23,19,5
62,Has Name,Dog,208,Hybrid,Tan,Male,Neutered,2014,11,18,11,55
63,Has Name,Cat,52,Hybrid,Black,Male,Neutered,2014,3,5,11,49
64,No Name,Cat,3,Hybrid,Brown,Male,Intact,2015,6,17,12,27
65,No Name,Cat,13,Hybrid,Brown,Male,Intact,2014,8,20,9,0
66,Has Name,Dog,52,Hybrid,Black,Female,Neutered,2014,10,18,18,6
67,Has Name,Cat,13,Hybrid,Tortie,Female,Neutered,2015,11,22,18,15
68,Has Name,Dog,624,Hybrid,Black,Female,Intact,2014,6,26,12,11
69,Has Name,Dog,104,Hybrid,Blue,Male,Neutered,2014,6,4,17,9
70,No Name,Cat,52,Hybrid,Tortie,Female,Intact,2014,8,24,9,0
71,No Name,Dog,13,Hybrid,White,Female,Intact,2016,1,20,13,29
72,Has Name,Dog,9,Hybrid,Brown,Female,Neutered,2015,2,21,17,58
73,No Name,Cat,1,Hybrid,Gray,Female,Unknown,2014,6,13,10,51
74,Has Name,Dog,104,Hybrid,Brown,Male,Neutered,2013,10,9,12,48
75,No Name,Cat,3,Hybrid,Orange,Female,Intact,2015,8,21,16,59
76,Has Name,Cat,9,Hybrid,Brown,Female,Intact,2015,8,30,11,6
77,Has Name,Cat,9,Hybrid,Tortie,Female,Neutered,2013,11,16,12,21
78,No Name,Cat,156,Hybrid,Black,Male,Neutered,2015,6,17,9,0
79,Has Name,Dog,156,Hybrid,Chocolate,Female,Neutered,2014,8,4,14,13
80,Has Name,Cat,4,Purebred,Brown,Male,Neutered,2014,8,20,17,18
81,No Name,Cat,0,Hybrid,Brown,Male,Intact,2014,4,26,17,2
82,No Name,Cat,1,Hybrid,Blue,Female,Unknown,2015,6,19,19,2
83,Has Name,Dog,52,Hybrid,Blue,Male,Neutered,2015,2,15,17,30
84,No Name,Cat,2,Hybrid,White,Male,Intact,2014,7,5,12,42
85,Has Name,Dog,312,Hybrid,Tricolor,Male,Neutered,2014,10,23,19,12
86,No Name,Cat,9,Hybrid,Blue,Male,Intact,2013,12,3,15,34
87,Has Name,Dog,104,Hybrid,Brown,Female,Intact,2014,3,14,18,39
88,Has Name,Dog,52,Hybrid,Black,Female,Neutered,2015,4,2,15,25
89,No Name,Cat,52,Hybrid,Black,Female,Intact,2014,7,14,15,23
90,Has Name,Cat,13,Hybrid,Calico,Female,Neutered,2013,12,1,14,2
91,No Name,Cat,312,Hybrid,Brown,Male,Intact,2015,6,6,9,0
92,No Name,Cat,156,Hybrid,Black,Male,Intact,2014,10,20,9,0
93,Has Name,Cat,9,Hybrid,Blue,Female,Neutered,2015,6,24,14,59
94,Has Name,Dog,156,Hybrid,Black,Male,Neutered,2014,5,24,15,30
95,No Name,Cat,104,Hybrid,Calico,Female,Neutered,2015,8,24,9,0
96,Has Name,Dog,104,Hybrid,Tricolor,Male,Neutered,2014,6,1,19,19
97,Has Name,Dog,156,Hybrid,White,Female,Neutered,2015,10,25,15,5
98,No Name,Cat,3,Hybrid,Brown,Male,Intact,2014,8,16,18,30
99,Has Name,Cat,9,Hybrid,Calico,Female,Intact,2013,10,2,16,48
100,Has Name,Dog,156,Hybrid,Sable,Female,Neutered,2014,10,21,16,23
101,Has Name,Cat,9,Hybrid,Black,Male,Neutered,2014,5,5,15,11
102,Has Name,Cat,52,Hybrid,Black,Female,Neutered,2015,7,18,19,44
103,Has Name,Dog,104,Purebred,White,Male,Neutered,2013,12,7,11,56
104,Has Name,Dog,52,Hybrid,Yellow,Male,Neutered,2015,12,4,13,40
105,Has Name,Cat,52,Hybrid,Torbie,Female,Neutered,2014,1,20,12,21
106,Has Name,Dog,52,Hybrid,Black,Male,Neutered,2014,1,5,15,24
107,Has Name,Dog,156,Hybrid,White,Male,Neutered,2014,9,1,17,37
108,Has Name,Dog,156,Hybrid,Brown,Female,Intact,2015,12,19,15,41
109,Has Name,Cat,4,Purebred,Tortie,Female,Neutered,2014,9,23,18,19
110,Has Name,Cat,156,Hybrid,Blue,Female,Neutered,2014,12,24,11,58
111,Has Name,Dog,208,Hybrid,Brown,Female,Neutered,2015,11,15,16,8
112,Has Name,Dog,52,Hybrid,Brown,Male,Neutered,2015,4,19,15,33
113,Has Name,Dog,416,Hybrid,Tan,Male,Neutered,2016,1,26,12,13
114,Has Name,Dog,156,Hybrid,White,Male,Neutered,2015,11,24,13,45
115,No Name,Cat,36,Hybrid,Blue,Female,Intact,2015,8,20,9,0
116,Has Name,Dog,36,Hybrid,Red,Male,Neutered,2015,8,30,12,3
117,Has Name,Dog,45,Hybrid,Tan,Female,Neutered,2015,2,14,17,13
118,Has Name,Dog,260,Purebred,Brown,Male,Intact,2014,7,23,13,16
119,Has Name,Dog,676,Purebred,Yellow,Male,Neutered,2013,10,31,11,43
120,No Name,Cat,104,Hybrid,Blue,Male,Neutered,2015,2,3,17,14
121,Has Name,Cat,9,Hybrid,Tortie,Female,Neutered,2015,6,24,12,23
122,Has Name,Cat,9,Hybrid,Brown,Male,Neutered,2014,3,1,15,17
123,Has Name,Cat,9,Hybrid,Blue,Male,Neutered,2015,5,25,17,23
124,No Name,Cat,1,Hybrid,Orange,Female,Unknown,2015,6,29,16,38
125,No Name,Dog,4,Hybrid,Sable,Male,Intact,2014,1,16,17,50
126,Has Name,Dog,4,Hybrid,Sable,Male,Neutered,2015,4,25,17,54
127,No Name,Cat,312,Hybrid,Brown,Male,Neutered,2014,7,17,9,0
128,Has Name,Cat,18,Hybrid,Brown,Female,Neutered,2015,1,17,11,13
129,Has Name,Cat,9,Hybrid,Orange,Male,Neutered,2014,7,1,18,59
130,Has Name,Cat,9,Hybrid,Blue,Male,Neutered,2014,10,13,19,2
131,Has Name,Dog,104,Hybrid,Tricolor,Male,Neutered,2015,4,13,17,22
132,Has Name,Cat,9,Hybrid,Brown,Male,Neutered,2015,7,20,18,20
133,No Name,Cat,9,Hybrid,Cream,Male,Neutered,2014,5,14,14,3
134,Has Name,Dog,104,Purebred,Tricolor,Female,Neutered,2015,5,28,11,24
135,Has Name,Cat,416,Hybrid,Blue,Female,Neutered,2014,12,13,13,50
136,Has Name,Dog,104,Hybrid,Red,Female,Neutered,2014,11,5,18,33
137,Has Name,Cat,208,Hybrid,Blue,Male,Neutered,2014,4,13,13,14
138,No Name,Cat,1,Hybrid,Black,Female,Unknown,2014,7,20,15,38
139,Has Name,Dog,416,Hybrid,Brown,Female,Neutered,2015,5,2,13,0
140,Has Name,Dog,104,Hybrid,Brown,Male,Neutered,2015,12,27,0,0
141,Has Name,Dog,45,Hybrid,Brown,Female,Neutered,2015,10,30,16,31
142,Has Name,Cat,4,Hybrid,Brown,Female,Intact,2015,8,25,15,3
143,Has Name,Dog,312,Hybrid,Brown,Female,Neutered,2014,7,23,13,7
144,Has Name,Dog,416,Hybrid,Black,Female,Neutered,2015,7,6,14,55
145,Has Name,Dog,52,Hybrid,Brown,Female,Neutered,2015,2,12,11,1
146,Has Name,Dog,260,Hybrid,Black,Female,Neutered,2015,10,27,13,30
147,Has Name,Cat,312,Hybrid,Lilac,Male,Neutered,2014,8,12,9,28
148,Has Name,Dog,364,Hybrid,Black,Male,Neutered,2014,11,12,18,37
149,No Name,Cat,52,Hybrid,Tortie,Female,Intact,2015,8,4,9,0
150,Has Name,Cat,4,Hybrid,Black,Male,Intact,2014,5,13,15,17
151,No Name,Cat,156,Hybrid,Blue,Female,Neutered,2015,5,25,13,14
152,No Name,Cat,104,Hybrid,Blue,Male,Intact,2013,12,9,16,7
153,Has Name,Dog,22,Hybrid,Black,Female,Neutered,2015,5,27,14,19
154,Has Name,Dog,104,Hybrid,Tan,Male,Intact,2014,1,23,14,45
155,No Name,Dog,13,Hybrid,Brown,Female,Neutered,2015,6,9,16,51
156,Has Name,Dog,18,Hybrid,White,Female,Neutered,2014,1,22,17,41
157,Has Name,Dog,260,Hybrid,Black,Male,Neutered,2015,12,17,14,50
158,No Name,Cat,3,Hybrid,Cream,Female,Intact,2015,9,12,13,52
159,Has Name,Cat,156,Hybrid,Lynx,Female,Neutered,2013,12,16,14,2
160,Has Name,Dog,104,Hybrid,Cream,Male,Neutered,2015,5,16,12,29
161,Has Name,Dog,104,Hybrid,Sable,Female,Neutered,2014,9,8,16,1
162,Has Name,Dog,52,Hybrid,Blue,Male,Neutered,2014,8,13,14,44
163,No Name,Dog,0,Hybrid,Brown,Female,Unknown,2015,3,6,9,50
164,Has Name,Cat,9,Hybrid,Cream,Female,Neutered,2015,6,27,17,37
165,Has Name,Dog,156,Hybrid,Red,Male,Neutered,2015,10,19,12,7
166,Has Name,Cat,9,Hybrid,Brown,Female,Neutered,2015,6,19,14,31
167,Has Name,Dog,52,Purebred,Brown,Male,Neutered,2015,4,18,16,52
168,Has Name,Dog,104,Hybrid,Brown,Female,Neutered,2014,6,7,12,7
169,Has Name,Dog,31,Hybrid,Yellow,Male,Neutered,2015,1,14,19,18
170,Has Name,Dog,9,Hybrid,Brown,Male,Neutered,2015,5,27,14,20
171,No Name,Cat,260,Hybrid,Black,Male,Intact,2014,6,20,9,0
172,Has Name,Dog,104,Hybrid,Tan,Female,Neutered,2015,10,5,16,23
173,Has Name,Dog,208,Hybrid,Brown,Female,Neutered,2013,12,12,18,53
174,Has Name,Dog,260,Hybrid,Brown,Female,Neutered,2014,5,27,12,44
175,Has Name,Dog,104,Hybrid,Tan,Male,Neutered,2014,1,8,17,57
176,Has Name,Cat,9,Hybrid,Black,Male,Intact,2015,7,26,14,39
177,Has Name,Dog,520,Hybrid,Tan,Male,Neutered,2015,1,8,15,39
178,Has Name,Cat,45,Hybrid,Black,Male,Neutered,2015,5,12,19,3
179,No Name,Dog,156,Hybrid,Buff,Female,Neutered,2015,5,10,17,36
180,No Name,Dog,36,Hybrid,White,Female,Intact,2014,6,7,17,10
181,No Name,Cat,1,Hybrid,Brown,Male,Intact,2015,9,25,16,0
182,Has Name,Cat,9,Hybrid,Brown,Female,Intact,2014,10,19,18,40
183,Has Name,Dog,52,Hybrid,Tan,Male,Neutered,2015,2,23,12,11
184,Has Name,Dog,52,Purebred,Red,Female,Intact,2014,7,2,16,43
185,Has Name,Dog,156,Hybrid,Brown,Female,Neutered,2015,12,19,17,57
186,Has Name,Dog,208,Purebred,Gray,Female,Neutered,2015,2,7,11,35
187,No Name,Cat,3,Hybrid,Black,Female,Intact,2015,7,30,18,19
188,Has Name,Dog,104,Hybrid,White,Female,Neutered,2014,5,29,12,38
189,Has Name,Dog,13,Hybrid,Chocolate,Female,Neutered,2013,11,19,14,47
190,Has Name,Dog,9,Hybrid,Tan,Female,Neutered,2014,2,24,18,38
191,Has Name,Dog,260,Hybrid,Brown,Female,Neutered,2015,5,19,19,3
192,Has Name,Dog,156,Hybrid,Brown,Female,Neutered,2014,3,1,13,8
193,Has Name,Dog,22,Hybrid,Blue,Female,Intact,2014,4,5,15,24
194,No Name,Dog,52,Hybrid,Black,Male,Neutered,2015,5,5,14,9
195,Has Name,Dog,9,Hybrid,Tan,Female,Neutered,2015,12,6,15,21
196,Has Name,Cat,27,Hybrid,Orange,Male,Neutered,2015,12,29,13,44
197,Has Name,Dog,52,Hybrid,Black,Female,Neutered,2015,5,1,18,26
198,Has Name,Dog,52,Hybrid,Blue,Male,Neutered,2015,3,1,17,58
199,Has Name,Dog,208,Hybrid,Black,Female,Neutered,2015,3,6,12,28
200,Has Name,Dog,52,Hybrid,Sable,Male,Neutered,2014,9,13,12,2
201,No Name,Cat,0,Hybrid,Blue,Female,Unknown,2014,9,8,18,53
202,Has Name,Cat,312,Hybrid,Black,Female,Neutered,2014,10,14,14,52
203,Has Name,Dog,40,Hybrid,Black,Male,Neutered,2014,10,20,18,33
204,No Name,Dog,104,Hybrid,Tricolor,Female,Neutered,2014,11,1,18,46
205,Has Name,Dog,104,Hybrid,Tan,Male,Intact,2015,10,9,19,2
206,Has Name,Cat,104,Hybrid,Calico,Female,Neutered,2016,2,19,14,51
207,Has Name,Dog,52,Hybrid,Black,Male,Neutered,2014,12,4,17,29
208,Has Name,Dog,416,Hybrid,Black,Female,Intact,2014,7,21,19,8
209,Has Name,Dog,104,Hybrid,Chocolate,Male,Neutered,2015,6,29,12,59
210,Has Name,Dog,104,Hybrid,Black,Male,Neutered,2015,1,16,18,59
211,No Name,Cat,18,Hybrid,Seal,Female,Intact,2015,8,10,9,0
212,Has Name,Dog,416,Hybrid,Black,Male,Neutered,2015,6,29,12,41
213,Has Name,Dog,156,Hybrid,Black,Male,Neutered,2013,10,12,17,47
214,No Name,Dog,52,Hybrid,Red,Female,Neutered,2013,10,21,17,46
215,No Name,Cat,2,Hybrid,Orange,Female,Intact,2015,5,5,13,28
216,No Name,Dog,208,Hybrid,Black,Female,Neutered,2015,9,30,18,30
217,No Name,Cat,13,Hybrid,Brown,Male,Neutered,2015,9,19,12,20
218,Has Name,Cat,52,Hybrid,Cream,Female,Neutered,2014,7,22,13,8
219,Has Name,Dog,52,Hybrid,Brown,Male,Neutered,2014,8,7,14,6
220,Has Name,Dog,468,Hybrid,White,Female,Neutered,2014,11,24,13,16
221,Has Name,Dog,104,Purebred,Black,Female,Intact,2015,8,19,11,2
222,No Name,Cat,9,Hybrid,Brown,Male,Intact,2015,7,21,9,0
223,Has Name,Cat,4,Hybrid,Seal,Female,Intact,2014,11,28,11,13
224,Has Name,Dog,52,Hybrid,Brown,Female,Neutered,2016,1,13,17,30
225,Has Name,Dog,884,Hybrid,Brown,Male,Intact,2013,12,26,19,26
226,Has Name,Dog,104,Hybrid,Brown,Female,Neutered,2015,2,27,15,35
227,No Name,Cat,4,Hybrid,Lynx,Female,Intact,2015,5,26,17,15
228,No Name,Dog,0,Hybrid,White,Female,Unknown,2015,6,4,18,53
229,Has Name,Dog,104,Hybrid,White,Male,Neutered,2015,8,1,12,9
230,No Name,Cat,13,Hybrid,Brown,Female,Intact,2014,11,9,9,0
231,Has Name,Cat,9,Hybrid,Blue,Male,Neutered,2015,8,16,18,53
232,Has Name,Dog,4,Hybrid,Sable,Female,Neutered,2014,12,18,17,37
233,No Name,Cat,1,Purebred,Brown,Female,Intact,2015,9,19,18,53
234,Has Name,Dog,208,Hybrid,Tan,Female,Intact,2014,1,16,17,49
235,Has Name,Dog,260,Hybrid,Brown,Male,Neutered,2014,6,2,18,20
236,Has Name,Cat,9,Hybrid,Brown,Male,Neutered,2015,8,6,12,30
237,Has Name,Dog,156,Hybrid,White,Male,Neutered,2014,7,5,12,12
238,No Name,Dog,9,Hybrid,Tan,Female,Intact,2014,2,6,13,30
239,Has Name,Dog,52,Hybrid,White,Female,Neutered,2015,1,18,18,22
240,No Name,Cat,18,Hybrid,Chocolate,Male,Neutered,2014,7,26,14,31
241,No Name,Dog,9,Hybrid,Chocolate,Male,Neutered,2013,12,19,18,9
242,Has Name,Dog,312,Hybrid,White,Female,Neutered,2014,6,26,12,11
243,No Name,Cat,9,Hybrid,Brown,Male,Neutered,2015,12,27,17,47
244,Has Name,Cat,156,Hybrid,Blue,Female,Neutered,2015,10,9,16,1
245,Has Name,Dog,104,Hybrid,Tan,Male,Neutered,2015,9,2,15,10
246,Has Name,Dog,364,Hybrid,Brown,Male,Neutered,2014,1,13,16,15
247,Has Name,Cat,52,Hybrid,Brown,Male,Neutered,2015,12,17,15,27
248,Has Name,Cat,52,Hybrid,Tortie,Female,Neutered,2014,1,17,12,1
249,Has Name,Dog,156,Hybrid,Yellow,Male,Neutered,2015,4,28,14,5
250,Has Name,Cat,4,Hybrid,Black,Male,Neutered,2015,4,4,15,55
251,No Name,Dog,2,Hybrid,Black,Female,Intact,2015,1,8,12,39
252,Has Name,Dog,208,Hybrid,White,Male,Neutered,2015,12,17,17,1
253,No Name,Cat,3,Hybrid,Brown,Male,Intact,2014,4,17,19,23
254,Has Name,Dog,260,Hybrid,Brown,Male,Neutered,2015,11,30,16,2
255,No Name,Cat,3,Hybrid,Black,Female,Intact,2014,8,24,15,34
256,Has Name,Dog,104,Hybrid,Buff,Female,Neutered,2015,12,16,12,36
257,No Name,Dog,260,Hybrid,Brown,Male,Neutered,2013,12,4,12,44
258,Has Name,Cat,52,Hybrid,Brown,Female,Neutered,2016,2,1,14,43
259,Has Name,Dog,468,Hybrid,Tan,Male,Neutered,2015,7,15,11,53
260,No Name,Dog,4,Hybrid,White,Male,Neutered,2015,11,13,17,13
261,Has Name,Dog,9,Hybrid,Black,Male,Neutered,2015,10,7,11,34
262,Has Name,Dog,52,Hybrid,Black,Female,Neutered,2015,10,18,15,3
263,Has Name,Dog,18,Hybrid,Yellow,Female,Neutered,2014,5,26,17,19
264,Has Name,Dog,104,Hybrid,Red,Male,Neutered,2015,1,13,12,5
265,Has Name,Dog,260,Hybrid,Red,Female,Neutered,2013,12,14,12,31
266,Has Name,Cat,208,Hybrid,Orange,Male,Neutered,2015,6,25,9,0
267,No Name,Dog,13,Hybrid,Tan,Male,Intact,2014,10,24,15,7
268,No Name,Cat,52,Hybrid,Brown,Female,Intact,2015,3,20,14,57
269,No Name,Cat,52,Hybrid,Torbie,Female,Unknown,2015,2,25,9,0
270,Has Name,Cat,18,Purebred,White,Male,Neutered,2015,1,20,17,45
271,No Name,Cat,18,Hybrid,Brown,Male,Intact,2014,11,25,18,38
272,No Name,Cat,156,Hybrid,Brown,Male,Neutered,2014,7,21,10,43
273,Has Name,Dog,52,Hybrid,Brown,Male,Intact,2015,12,19,15,47
274,No Name,Dog,416,Purebred,Brown,Male,Neutered,2014,11,12,16,58
275,No Name,Cat,260,Hybrid,Black,Male,Neutered,2015,3,28,12,16
276,No Name,Cat,104,Hybrid,Brown,Male,Intact,2014,4,21,9,1
277,No Name,Cat,1,Hybrid,Blue,Female,Unknown,2015,10,9,19,12
278,No Name,Cat,104,Hybrid,Blue,Male,Neutered,2014,1,24,14,28
279,Has Name,Cat,104,Purebred,Tortie,Female,Neutered,2015,10,17,13,35
280,Has Name,Cat,52,Hybrid,Black,Female,Intact,2014,4,27,12,25
281,Has Name,Dog,156,Hybrid,Black,Female,Neutered,2014,2,16,14,42
282,Has Name,Dog,312,Purebred,Blue,Male,Neutered,2015,12,8,13,56
283,No Name,Dog,13,Hybrid,Black,Female,Intact,2015,9,9,13,56
284,Has Name,Cat,13,Hybrid,Orange,Male,Neutered,2015,8,23,14,58
285,Has Name,Dog,260,Hybrid,Brown,Male,Neutered,2014,8,6,11,16
286,Has Name,Dog,104,Hybrid,Brown,Male,Neutered,2015,2,13,15,12
287,No Name,Cat,9,Hybrid,Black,Female,Unknown,2015,5,9,9,0
288,No Name,Cat,1,Hybrid,Blue,Male,Intact,2014,9,12,15,49
289,Has Name,Dog,52,Hybrid,Brown,Female,Neutered,2014,2,25,16,39
290,Has Name,Dog,156,Hybrid,Black,Male,Neutered,2014,5,4,14,59
291,No Name,Cat,22,Hybrid,Brown,Male,Neutered,2015,8,20,18,48
292,Has Name,Cat,13,Hybrid,Orange,Female,Neutered,2014,12,6,18,22
293,No Name,Cat,9,Hybrid,Tortie,Female,Neutered,2015,9,29,13,47
294,Has Name,Cat,208,Hybrid,Black,Male,Intact,2014,1,28,15,25
295,Has Name,Dog,312,Hybrid,Brown,Male,Neutered,2015,4,6,18,54
296,No Name,Dog,13,Hybrid,Black,Female,Intact,2015,3,25,15,58
297,Has Name,Dog,104,Hybrid,Black,Male,Neutered,2014,3,19,16,58
298,No Name,Dog,52,Hybrid,Red,Male,Intact,2014,1,24,14,27
299,Has Name,Dog,104,Hybrid,Tan,Female,Neutered,2013,10,12,16,1
300,Has Name,Cat,104,Hybrid,Brown,Male,Neutered,2014,3,3,12,45
301,Has Name,Dog,104,Hybrid,Brown,Male,Neutered,2015,1,15,19,7
302,Has Name,Cat,9,Hybrid,Black,Female,Neutered,2014,6,5,15,27
303,Has Name,Cat,13,Hybrid,White,Male,Neutered,2015,7,18,17,34
304,Has Name,Dog,104,Hybrid,Black,Female,Neutered,2013,10,16,14,20
305,No Name,Dog,104,Hybrid,Tan,Male,Intact,2015,6,5,15,41
306,Has Name,Dog,676,Hybrid,Brown,Male,Neutered,2014,9,6,18,52
307,Has Name,Cat,18,Hybrid,Orange,Male,Neutered,2015,1,20,18,20
308,Has Name,Cat,104,Hybrid,Black,Female,Neutered,2014,3,26,15,47
309,Has Name,Dog,31,Hybrid,Black,Female,Neutered,2016,2,20,21,16
310,Has Name,Cat,0,Hybrid,Brown,Male,Intact,2015,7,24,13,18
311,Has Name,Cat,208,Hybrid,Orange,Male,Neutered,2014,2,20,12,46
312,No Name,Cat,9,Hybrid,Tortie,Female,Neutered,2014,8,15,15,15
313,No Name,Cat,18,Hybrid,Brown,Female,Intact,2014,3,20,16,31
314,Has Name,Dog,208,Hybrid,Black,Female,Neutered,2015,4,3,14,15
315,Has Name,Cat,2,Hybrid,White,Female,Unknown,2014,8,10,16,35
316,Has Name,Dog,208,Hybrid,Silver,Female,Neutered,2015,6,28,17,46
317,Has Name,Dog,312,Purebred,Brown,Female,Neutered,2014,9,1,18,14
318,No Name,Dog,45,Hybrid,Black,Male,Neutered,2014,8,13,17,19
319,No Name,Cat,3,Hybrid,Torbie,Female,Intact,2015,9,3,18,43
320,Has Name,Dog,104,Hybrid,Tan,Male,Neutered,2015,11,20,18,4
321,Has Name,Cat,104,Hybrid,White,Male,Neutered,2015,3,30,16,30
322,No Name,Cat,3,Hybrid,Calico,Female,Unknown,2015,6,16,17,46
323,No Name,Cat,3,Hybrid,Brown,Female,Unknown,2015,6,29,14,40
324,Has Name,Cat,4,Purebred,Black,Male,Neutered,2015,6,4,15,45
325,Has Name,Cat,13,Hybrid,Blue,Female,Neutered,2015,11,11,16,49
326,Has Name,Cat,13,Hybrid,Brown,Female,Neutered,2015,10,5,17,18
327,Has Name,Dog,9,Hybrid,Tricolor,Male,Neutered,2014,12,30,11,37
328,Has Name,Dog,156,Hybrid,White,Male,Neutered,2014,3,6,16,9
329,Has Name,Dog,27,Hybrid,Yellow,Male,Neutered,2014,6,2,17,31
330,Has Name,Dog,104,Purebred,White,Female,Intact,2014,8,2,12,4
331,Has Name,Dog,624,Hybrid,Tricolor,Female,Neutered,2014,9,1,13,10
332,No Name,Cat,27,Hybrid,Tortie,Female,Intact,2014,11,6,9,0
333,Has Name,Cat,9,Hybrid,Black,Male,Neutered,2014,8,25,18,52
334,No Name,Dog,9,Hybrid,Black,Male,Neutered,2016,1,7,12,44
335,No Name,Dog,13,Hybrid,White,Male,Intact,2015,6,29,14,42
336,Has Name,Cat,9,Hybrid,Black,Male,Neutered,2013,10,31,16,46
337,No Name,Cat,312,Hybrid,Orange,Male,Intact,2015,3,23,12,35
