AnimalID,Name,OutcomeType,AnimalType,AgeuponOutcome,Breed,Color,Sex,Neutered,Year,Month,Day,Hour,Minute
A708666,Has Name,Return_to_owner,Cat,364,Hybrid,Blue,Male,Neutered,2015,7,30,14,30
A718535,No Name,Euthanasia,Cat,156,Hybrid,Calico,Female,Neutered,2016,1,1,13,57
A707341,Has Name,Transfer,Dog,18,Hybrid,Black,Male,Intact,2015,7,15,15,25
A682532,No Name,Adoption,Cat,9,Hybrid,Torbie,Female,Neutered,2014,7,3,17,1
A666825,Has Name,Return_to_owner,Dog,260,Hybrid,Brown,Male,Neutered,2013,11,8,13,24
A699723,Has Name,Transfer,Dog,156,Hybrid,Brown,Male,Neutered,2015,4,11,16,1
A668626,No Name,Euthanasia,Dog,156,Hybrid,Yellow,Male,Intact,2013,12,6,14,55
A657085,Has Name,Return_to_owner,Dog,156,Hybrid,Brown,Male,Neutered,2013,10,24,11,22
A682413,No Name,Transfer,Cat,9,Hybrid,Blue,Male,Intact,2014,7,2,13,37
A702655,Has Name,Transfer,Cat,18,Hybrid,Black,Male,Neutered,2015,8,11,0,0
A707503,No Name,Transfer,Cat,3,Hybrid,Brown,Male,Intact,2015,7,14,12,16
A697199,Has Name,Adoption,Cat,364,Hybrid,Blue,Female,Neutered,2015,4,4,17,26
A705598,No Name,Transfer,Cat,9,Hybrid,Orange,Male,Intact,2015,6,23,13,25
A668388,Has Name,Transfer,Cat,9,Hybrid,Brown,Female,Intact,2013,12,9,15,4
A671181,No Name,Transfer,Cat,208,Hybrid,Black,Male,Intact,2014,1,21,15,15
A676766,Has Name,Adoption,Cat,104,Hybrid,Black,Male,Neutered,2014,5,28,15,52
A686716,Has Name,Return_to_owner,Dog,624,Purebred,Tricolor,Male,Neutered,2014,8,27,7,50
A684475,Has Name,Return_to_owner,Cat,468,Hybrid,White,Female,Neutered,2014,8,5,11,15
A701804,No Name,Transfer,Cat,3,Hybrid,Black,Female,Intact,2015,5,5,11,46
A697852,Has Name,Adoption,Dog,22,Hybrid,Black,Female,Neutered,2015,3,9,17,57
A666092,No Name,Euthanasia,Dog,312,Hybrid,Chocolate,Male,Intact,2013,10,30,15,37
A684050,No Name,Transfer,Cat,52,Hybrid,Tortie,Female,Intact,2014,7,28,9,0
A710107,Has Name,Adoption,Cat,13,Hybrid,Brown,Female,Neutered,2015,10,19,18,58
A682347,No Name,Transfer,Cat,3,Hybrid,Blue,Female,Intact,2014,6,26,17,16
A701627,Has Name,Adoption,Dog,104,Hybrid,Gray,Male,Neutered,2015,5,14,12,7
A690902,Has Name,Adoption,Cat,9,Hybrid,Orange,Female,Neutered,2014,11,18,16,5
A712979,No Name,Transfer,Cat,1,Hybrid,Black,Male,Intact,2015,10,4,15,2
A707687,Has Name,Adoption,Cat,9,Hybrid,Calico,Female,Neutered,2015,8,16,13,52
A683443,No Name,Transfer,Dog,52,Hybrid,Tan,Male,Intact,2014,7,18,16,23
A597644,Has Name,Return_to_owner,Dog,208,Hybrid,Tan,Female,Neutered,2014,9,16,14,5
A682784,Has Name,Adoption,Dog,104,Hybrid,Brown,Male,Neutered,2014,7,7,12,38
A709863,Has Name,Transfer,Cat,52,Hybrid,Orange,Male,Intact,2015,8,19,13,32
A678506,Has Name,Euthanasia,Dog,572,Hybrid,Brown,Female,Neutered,2014,5,9,18,7
A713029,Has Name,Transfer,Cat,4,Hybrid,Black,Female,Intact,2015,10,6,15,7
A712236,Has Name,Adoption,Dog,104,Hybrid,Tan,Female,Neutered,2015,9,23,11,45
A683961,No Name,Transfer,Cat,2,Hybrid,Black,Female,Unknown,2014,7,17,17,31
A714740,Has Name,Return_to_owner,Dog,312,Hybrid,White,Female,Neutered,2015,10,27,18,32
A691847,Has Name,Transfer,Dog,27,Hybrid,Black,Male,Neutered,2014,12,8,15,53
A711392,Has Name,Transfer,Dog,9,Purebred,Buff,Female,Intact,2015,9,8,15,31
A705258,No Name,Transfer,Cat,9,Hybrid,Brown,Female,Unknown,2015,6,16,9,0
A678172,Has Name,Adoption,Dog,52,Hybrid,Red,Female,Neutered,2014,5,10,18,18
A676736,Has Name,Adoption,Dog,9,Hybrid,Brown,Male,Neutered,2014,4,30,17,55
A701575,Has Name,Transfer,Dog,104,Hybrid,Brown,Male,Neutered,2016,1,29,14,53
A674913,No Name,Adoption,Dog,156,Hybrid,White,Female,Neutered,2014,3,25,18,15
A706446,Has Name,Return_to_owner,Cat,52,Hybrid,Black,Female,Intact,2015,8,18,11,32
A669540,Has Name,Return_to_owner,Dog,208,Hybrid,Blue,Female,Neutered,2013,12,28,16,17
A709371,Has Name,Transfer,Dog,104,Hybrid,Tan,Female,Neutered,2015,8,19,14,28
A681410,Has Name,Adoption,Cat,13,Purebred,Brown,Female,Neutered,2014,6,22,17,22
A675021,No Name,Euthanasia,Cat,52,Hybrid,Calico,Female,Intact,2014,3,21,17,9
A704179,Has Name,Adoption,Dog,9,Hybrid,Black,Male,Neutered,2015,6,7,16,7
A717839,No Name,Transfer,Cat,104,Hybrid,Black,Female,Neutered,2015,12,20,19,38
A700740,Has Name,Adoption,Dog,52,Purebred,White,Male,Neutered,2015,12,17,12,10
A712376,No Name,Euthanasia,Cat,2,Hybrid,Blue,Female,Unknown,2015,9,22,12,10
A703952,Has Name,Transfer,Cat,4,Hybrid,Seal,Female,Unknown,2015,5,30,18,56
A713690,No Name,Transfer,Cat,104,Hybrid,Blue,Male,Intact,2015,10,12,9,0
A691838,Has Name,Euthanasia,Dog,624,Hybrid,Brown,Male,Neutered,2015,2,9,17,17
A687789,No Name,Adoption,Dog,52,Hybrid,Brown,Male,Neutered,2014,9,14,18,51
A704754,Has Name,Adoption,Cat,9,Hybrid,Black,Male,Neutered,2015,7,18,15,37
A707531,No Name,Transfer,Cat,2,Hybrid,Black,Male,Intact,2015,7,14,15,4
A677594,No Name,Transfer,Dog,13,Hybrid,Black,Female,Intact,2014,4,26,18,0
A667155,No Name,Adoption,Cat,13,Hybrid,Calico,Female,Neutered,2013,11,18,15,56
A717147,Has Name,Adoption,Dog,22,Hybrid,Brown,Male,Neutered,2015,12,15,14,16
A687012,Has Name,Adoption,Dog,156,Hybrid,Black,Female,Neutered,2016,2,7,14,54
A676200,Has Name,Transfer,Dog,364,Purebred,White,Female,Neutered,2014,4,10,11,49
A676680,Has Name,Euthanasia,Dog,104,Hybrid,Black,Female,Neutered,2015,2,6,18,56
A688443,Has Name,Adoption,Cat,18,Hybrid,Black,Female,Neutered,2014,12,29,15,11
A715261,Has Name,Adoption,Dog,468,Hybrid,White,Female,Neutered,2015,11,15,14,6
A717008,Has Name,Transfer,Dog,31,Hybrid,Black,Male,Neutered,2015,12,6,15,12
A683416,No Name,Adoption,Cat,9,Hybrid,Black,Male,Neutered,2014,7,14,19,28
A690658,No Name,Transfer,Cat,156,Hybrid,Black,Male,Intact,2014,10,24,9,0
A695155,No Name,Adoption,Dog,156,Hybrid,Gray,Male,Neutered,2015,1,14,16,18
A679721,Has Name,Adoption,Dog,260,Hybrid,Tan,Male,Neutered,2014,5,29,17,43
A719113,Has Name,Transfer,Dog,260,Hybrid,Brown,Male,Neutered,2016,1,28,12,5
A665298,No Name,Transfer,Cat,2,Hybrid,Blue,Female,Intact,2013,10,16,11,50
A708351,No Name,Transfer,Cat,2,Hybrid,Black,Female,Unknown,2015,7,26,14,40
A670681,Has Name,Transfer,Cat,208,Hybrid,Torbie,Female,Neutered,2014,1,30,14,41
A699990,Has Name,Return_to_owner,Dog,208,Hybrid,Tan,Male,Neutered,2015,4,8,18,6
A707767,Has Name,Adoption,Cat,9,Hybrid,Brown,Male,Neutered,2015,7,19,18,27
A668362,Has Name,Return_to_owner,Dog,104,Hybrid,Black,Female,Neutered,2013,12,20,12,2
A674577,Has Name,Adoption,Dog,104,Hybrid,White,Male,Neutered,2014,3,23,18,43
A674802,Has Name,Return_to_owner,Dog,468,Hybrid,Black,Male,Neutered,2014,3,29,11,26
A672410,Has Name,Return_to_owner,Dog,260,Hybrid,Tricolor,Male,Neutered,2014,2,11,18,16
A657753,Has Name,Euthanasia,Dog,52,Hybrid,Yellow,Male,Neutered,2013,12,6,16,53
A663339,Has Name,Adoption,Dog,104,Hybrid,Fawn,Female,Neutered,2013,10,20,16,37
A678229,No Name,Transfer,Cat,3,Hybrid,Brown,Male,Intact,2014,5,6,15,59
A698694,Has Name,Transfer,Dog,22,Hybrid,White,Male,Intact,2015,7,6,15,48
A695971,No Name,Euthanasia,Cat,312,Hybrid,Orange,Male,Intact,2015,1,26,16,23
A674233,Has Name,Adoption,Dog,52,Hybrid,Tan,Female,Neutered,2014,3,22,15,38
A713392,Has Name,Transfer,Dog,13,Hybrid,Black,Male,Intact,2015,11,5,0,0
A713968,Has Name,Transfer,Cat,4,Hybrid,Calico,Female,Intact,2015,10,24,18,29
A701428,Has Name,Return_to_owner,Dog,156,Hybrid,Brown,Female,Neutered,2015,5,3,16,59
A676146,Has Name,Return_to_owner,Dog,260,Hybrid,Black,Male,Neutered,2014,4,14,17,0
A679259,Has Name,Adoption,Dog,416,Hybrid,Black,Male,Neutered,2014,5,26,11,22
A688223,No Name,Adoption,Dog,9,Hybrid,Black,Female,Neutered,2014,9,21,14,15
A691968,No Name,Euthanasia,Cat,364,Hybrid,Tortie,Female,Intact,2014,11,14,11,57
A688871,Has Name,Adoption,Cat,9,Hybrid,Black,Female,Intact,2014,10,3,18,43
A674530,Has Name,Adoption,Dog,260,Purebred,Black,Male,Neutered,2014,9,11,17,3
A718604,Has Name,Adoption,Dog,52,Hybrid,White,Male,Neutered,2016,1,31,17,22
A686520,No Name,Transfer,Cat,13,Hybrid,Brown,Male,Intact,2014,8,24,9,0
A699094,Has Name,Return_to_owner,Dog,104,Hybrid,Brown,Male,Neutered,2015,3,22,18,40
A394547,Has Name,Return_to_owner,Dog,468,Hybrid,Chocolate,Female,Neutered,2015,1,25,11,15
A662685,Has Name,Adoption,Dog,156,Hybrid,Red,Female,Neutered,2015,10,22,17,18
A713977,Has Name,Return_to_owner,Cat,156,Hybrid,Calico,Female,Neutered,2015,10,26,18,39
A707781,Has Name,Adoption,Dog,52,Hybrid,Black,Female,Neutered,2016,1,15,14,3
A694699,Has Name,Transfer,Dog,104,Hybrid,Black,Female,Neutered,2015,1,9,15,28
A696350,Has Name,Return_to_owner,Dog,52,Purebred,Brown,Female,Neutered,2015,12,15,17,30
A679102,Has Name,Transfer,Cat,104,Hybrid,Flame,Male,Neutered,2014,6,10,16,41
A698341,Has Name,Return_to_owner,Dog,104,Hybrid,Brown,Female,Neutered,2015,5,16,15,19
A681481,No Name,Transfer,Cat,104,Hybrid,Blue,Female,Intact,2014,6,18,9,0
A714177,No Name,Transfer,Cat,13,Hybrid,Tortie,Female,Unknown,2015,10,20,9,0
A689601,Has Name,Adoption,Dog,4,Hybrid,Tricolor,Female,Neutered,2014,11,23,18,55
A685062,No Name,Adoption,Cat,9,Hybrid,Orange,Male,Neutered,2014,8,5,13,20
A672453,No Name,Adoption,Cat,45,Hybrid,Cream,Male,Neutered,2014,2,16,19,38
A719480,Has Name,Transfer,Cat,104,Hybrid,Brown,Female,Neutered,2016,2,9,16,31
A702880,Has Name,Adoption,Cat,9,Hybrid,Calico,Female,Neutered,2015,6,28,15,33
A714494,Has Name,Adoption,Dog,27,Hybrid,Yellow,Male,Neutered,2015,11,1,19,11
A711853,Has Name,Adoption,Cat,9,Hybrid,Brown,Female,Neutered,2015,11,7,19,14
A688720,No Name,Adoption,Dog,52,Hybrid,Tan,Female,Neutered,2014,9,26,18,9
A689690,Has Name,Transfer,Dog,27,Hybrid,Brown,Female,Intact,2014,10,22,14,37
A679915,Has Name,Adoption,Cat,52,Hybrid,Black,Female,Neutered,2014,6,1,17,48
A687991,No Name,Transfer,Cat,3,Hybrid,Calico,Male,Intact,2014,9,12,18,38
A707896,Has Name,Adoption,Cat,104,Hybrid,Brown,Male,Neutered,2016,2,19,14,58
A702014,Has Name,Adoption,Dog,49,Hybrid,Blue,Female,Neutered,2015,11,14,13,30
A673626,No Name,Transfer,Dog,13,Hybrid,Tricolor,Male,Neutered,2014,3,3,16,58
A652097,Has Name,Return_to_owner,Dog,104,Purebred,Brown,Female,Neutered,2014,2,10,12,34
A685180,Has Name,Transfer,Dog,104,Hybrid,Red,Male,Neutered,2014,9,27,12,25
A707442,Has Name,Adoption,Dog,104,Hybrid,Brown,Male,Neutered,2015,8,15,11,32
A682599,Has Name,Adoption,Cat,18,Purebred,Calico,Female,Neutered,2014,7,3,18,45
A685452,No Name,Transfer,Dog,18,Hybrid,Red,Female,Intact,2014,8,11,15,17
A688067,No Name,Transfer,Cat,22,Hybrid,Torbie,Female,Intact,2014,9,15,9,0
A714069,Has Name,Adoption,Cat,9,Hybrid,Black,Male,Neutered,2015,12,16,11,28
A705924,Has Name,Transfer,Dog,364,Hybrid,Brown,Male,Neutered,2015,7,29,15,41
A717167,Has Name,Adoption,Cat,208,Hybrid,Black,Male,Neutered,2016,1,23,16,5
A711639,No Name,Transfer,Cat,3,Hybrid,Tortie,Female,Intact,2015,9,10,11,35
A716760,Has Name,Adoption,Dog,27,Hybrid,Black,Male,Neutered,2015,12,6,17,8
A709048,Has Name,Adoption,Dog,22,Hybrid,Black,Female,Intact,2015,8,8,17,58
A719048,Has Name,Return_to_owner,Dog,416,Purebred,White,Female,Neutered,2016,1,13,11,43
A707437,No Name,Adoption,Cat,9,Hybrid,Black,Male,Neutered,2015,7,19,17,26
A706387,Has Name,Adoption,Cat,4,Hybrid,Blue,Female,Neutered,2015,7,6,18,5
A720668,No Name,Return_to_owner,Dog,22,Hybrid,White,Female,Neutered,2016,2,15,18,30
A679341,Has Name,Transfer,Cat,4,Hybrid,Brown,Male,Intact,2014,5,31,13,58
A690519,No Name,Transfer,Cat,18,Hybrid,Blue,Male,Intact,2014,10,23,9,0
A708769,Has Name,Adoption,Dog,52,Hybrid,White,Female,Neutered,2015,8,1,11,54
A681462,Has Name,Adoption,Dog,104,Hybrid,Black,Male,Neutered,2014,8,10,16,25
A666444,Has Name,Transfer,Cat,572,Hybrid,Tortie,Female,Neutered,2013,11,4,15,50
A701153,No Name,Adoption,Dog,9,Hybrid,Tricolor,Male,Neutered,2015,6,25,9,31
A710071,Has Name,Transfer,Cat,9,Hybrid,White,Male,Neutered,2015,9,1,0,0
A714602,Has Name,Adoption,Cat,9,Hybrid,Brown,Female,Intact,2015,10,29,18,44
A700707,Has Name,Adoption,Dog,4,Hybrid,Black,Female,Neutered,2015,4,20,14,41
A702563,Has Name,Return_to_owner,Dog,364,Hybrid,White,Female,Neutered,2015,5,25,11,26
A679441,No Name,Transfer,Cat,0,Hybrid,Cream,Male,Intact,2014,5,21,13,47
A715729,Has Name,Return_to_owner,Dog,208,Purebred,White,Male,Neutered,2015,11,9,13,24
A716575,Has Name,Transfer,Dog,104,Hybrid,Tan,Female,Neutered,2015,12,22,0,0
A714462,Has Name,Return_to_owner,Dog,52,Hybrid,White,Female,Neutered,2015,11,14,13,26
A717429,Has Name,Return_to_owner,Dog,104,Hybrid,Brown,Male,Neutered,2015,12,9,17,5
A687336,No Name,Transfer,Cat,4,Hybrid,Brown,Female,Intact,2014,9,3,18,51
A713364,Has Name,Transfer,Cat,52,Hybrid,Black,Female,Intact,2015,11,13,11,53
A701999,Has Name,Adoption,Dog,104,Hybrid,Tan,Female,Neutered,2015,5,12,17,39
A664304,No Name,Transfer,Cat,45,Hybrid,Orange,Male,Intact,2013,10,3,12,27
A698066,Has Name,Transfer,Dog,208,Hybrid,White,Female,Neutered,2015,3,7,12,50
A680585,Has Name,Adoption,Cat,18,Hybrid,Brown,Female,Neutered,2014,7,16,17,48
A699715,Has Name,Transfer,Dog,312,Hybrid,White,Female,Neutered,2015,5,13,11,51
A702246,No Name,Adoption,Dog,40,Hybrid,Black,Female,Neutered,2015,5,15,17,47
A711918,Has Name,Adoption,Dog,156,Hybrid,Red,Female,Neutered,2015,9,19,14,33
A676430,Has Name,Adoption,Cat,36,Hybrid,Torbie,Female,Neutered,2014,11,23,12,43
A677577,Has Name,Adoption,Dog,45,Hybrid,Red,Female,Neutered,2014,5,1,16,12
A683666,No Name,Transfer,Cat,52,Hybrid,White,Male,Neutered,2015,9,1,0,0
A713754,Has Name,Adoption,Dog,52,Hybrid,Blue,Male,Neutered,2015,10,27,16,44
A703631,Has Name,Adoption,Dog,52,Hybrid,Black,Male,Neutered,2015,7,3,18,50
A676209,Has Name,Adoption,Dog,13,Hybrid,Yellow,Male,Neutered,2014,7,24,15,2
A667508,Has Name,Return_to_owner,Dog,312,Hybrid,Chocolate,Male,Intact,2013,11,19,18,30
A671105,No Name,Transfer,Cat,52,Hybrid,Black,Female,Unknown,2014,1,21,15,20
A676056,Has Name,Return_to_owner,Dog,104,Hybrid,Tan,Male,Neutered,2014,4,10,10,13
A667963,No Name,Adoption,Dog,260,Hybrid,Tan,Female,Neutered,2013,11,30,18,48
A702207,No Name,Euthanasia,Cat,624,Hybrid,Orange,Male,Neutered,2015,5,10,17,16
A672065,Has Name,Adoption,Dog,104,Hybrid,Sable,Female,Neutered,2014,4,8,12,50
A688852,Has Name,Adoption,Dog,312,Hybrid,Black,Male,Neutered,2014,10,18,18,48
A705885,Has Name,Adoption,Cat,13,Hybrid,Black,Male,Neutered,2015,6,27,18,24
A670949,Has Name,Return_to_owner,Dog,36,Hybrid,Tricolor,Female,Neutered,2014,2,1,11,13
A665666,Has Name,Transfer,Cat,52,Hybrid,Black,Male,Neutered,2013,12,27,15,49
A714575,Has Name,Transfer,Cat,780,Hybrid,Black,Female,Intact,2015,10,31,15,18
A690480,No Name,Transfer,Dog,3,Hybrid,Chocolate,Female,Intact,2014,10,22,17,46
A691636,Has Name,Adoption,Dog,22,Hybrid,White,Male,Neutered,2014,11,13,16,7
A678482,No Name,Adoption,Dog,104,Hybrid,Black,Male,Neutered,2014,5,14,19,15
A687785,Has Name,Adoption,Dog,104,Hybrid,Brown,Female,Neutered,2014,12,30,9,38
A716839,Has Name,Return_to_owner,Dog,104,Hybrid,Brown,Male,Intact,2015,11,27,14,6
A718547,No Name,Adoption,Dog,104,Hybrid,Tan,Female,Neutered,2016,1,11,14,23
A687989,No Name,Transfer,Cat,3,Hybrid,Calico,Female,Intact,2014,9,12,18,38
A694408,Has Name,Transfer,Dog,52,Hybrid,Brown,Female,Neutered,2015,5,28,13,14
A698940,No Name,Transfer,Cat,104,Hybrid,Brown,Male,Intact,2015,3,21,9,0
A666074,Has Name,Transfer,Cat,4,Hybrid,Brown,Male,Intact,2013,10,30,15,14
A675549,Has Name,Transfer,Dog,208,Hybrid,White,Male,Neutered,2014,4,8,15,29
A682131,No Name,Transfer,Cat,3,Hybrid,Brown,Male,Intact,2014,6,24,19,15
A674737,Has Name,Adoption,Cat,9,Hybrid,Black,Male,Intact,2014,5,27,8,21
A719876,Has Name,Transfer,Dog,52,Hybrid,White,Female,Neutered,2016,2,2,15,58
A676626,Has Name,Adoption,Dog,9,Hybrid,Brown,Female,Neutered,2014,5,30,16,54
A666478,Has Name,Adoption,Dog,52,Hybrid,Black,Female,Neutered,2013,11,4,17,51
A683507,No Name,Adoption,Dog,156,Hybrid,Buff,Female,Neutered,2014,7,15,17,26
A487470,Has Name,Euthanasia,Dog,468,Hybrid,Black,Male,Neutered,2014,1,20,18,40
A665661,Has Name,Return_to_owner,Cat,104,Hybrid,White,Female,Neutered,2015,9,7,15,5
A668260,No Name,Transfer,Dog,260,Purebred,Black,Female,Neutered,2013,12,2,14,10
A716964,Has Name,Return_to_owner,Dog,104,Hybrid,Black,Male,Intact,2015,11,29,18,11
A701029,Has Name,Return_to_owner,Dog,104,Purebred,Brown,Male,Neutered,2015,5,1,11,4
A668506,Has Name,Return_to_owner,Dog,364,Purebred,Brown,Male,Neutered,2015,11,3,16,40
A684709,No Name,Transfer,Cat,52,Hybrid,Brown,Female,Intact,2014,7,28,9,0
A616229,Has Name,Adoption,Cat,312,Hybrid,Black,Female,Neutered,2015,11,21,15,21
A680336,Has Name,Adoption,Cat,9,Hybrid,Orange,Male,Neutered,2014,7,12,20,4
A701898,Has Name,Return_to_owner,Dog,52,Hybrid,Tan,Female,Neutered,2015,5,10,18,38
A666971,No Name,Adoption,Cat,9,Hybrid,Orange,Male,Neutered,2013,11,14,17,14
A691605,Has Name,Return_to_owner,Dog,312,Hybrid,Brown,Female,Neutered,2014,11,8,14,41
A703244,No Name,Transfer,Cat,9,Hybrid,Brown,Male,Intact,2015,5,26,16,2
A705111,Has Name,Adoption,Dog,104,Hybrid,Brown,Female,Neutered,2015,6,24,15,25
A685460,Has Name,Adoption,Cat,364,Hybrid,Flame,Male,Neutered,2014,8,19,18,25
A716890,Has Name,Adoption,Cat,13,Hybrid,Brown,Female,Neutered,2015,12,6,12,41
A715741,Has Name,Adoption,Dog,156,Hybrid,Red,Male,Neutered,2015,11,19,18,45
A676334,No Name,Transfer,Cat,104,Hybrid,Black,Female,Intact,2014,4,22,15,35
A668122,No Name,Adoption,Dog,364,Purebred,Liver,Female,Neutered,2013,12,1,17,58
A702356,No Name,Euthanasia,Cat,4,Hybrid,White,Male,Intact,2015,5,24,17,25
A664842,Has Name,Return_to_owner,Dog,104,Hybrid,Brown,Female,Neutered,2013,11,9,19,21
A709067,Has Name,Return_to_owner,Dog,22,Hybrid,Black,Female,Intact,2015,8,5,0,0
A608918,Has Name,Transfer,Dog,208,Hybrid,Black,Male,Neutered,2015,6,2,11,56
A651596,Has Name,Return_to_owner,Dog,104,Hybrid,Buff,Male,Neutered,2014,3,6,17,13
A720190,Has Name,Transfer,Dog,364,Hybrid,Tricolor,Female,Neutered,2016,2,7,0,0
A676609,Has Name,Adoption,Dog,52,Hybrid,Brown,Male,Neutered,2014,7,6,12,46
A666504,No Name,Transfer,Cat,4,Hybrid,Orange,Male,Neutered,2013,12,11,12,49
A693272,Has Name,Adoption,Dog,4,Hybrid,Black,Male,Neutered,2015,1,31,13,33
A711607,Has Name,Adoption,Cat,9,Hybrid,White,Male,Neutered,2015,9,20,14,50
A713337,No Name,Transfer,Cat,156,Hybrid,Blue,Female,Intact,2015,10,6,9,0
A672758,Has Name,Transfer,Dog,208,Hybrid,Tan,Female,Neutered,2014,7,16,13,48
A658690,Has Name,Adoption,Dog,52,Hybrid,Black,Female,Neutered,2013,10,19,12,58
A708390,Has Name,Adoption,Dog,104,Hybrid,Black,Female,Neutered,2015,8,2,18,49
A703383,Has Name,Transfer,Dog,520,Purebred,Buff,Female,Neutered,2015,5,28,15,25
A689749,Has Name,Adoption,Cat,9,Hybrid,Brown,Male,Neutered,2014,10,18,16,55
A699816,Has Name,Adoption,Dog,520,Hybrid,Tan,Female,Neutered,2015,4,11,18,1
A701791,Has Name,Adoption,Cat,104,Hybrid,Brown,Female,Neutered,2015,7,19,14,37
A625690,Has Name,Return_to_owner,Dog,364,Hybrid,White,Female,Neutered,2014,7,21,11,9
A686406,No Name,Adoption,Dog,52,Hybrid,Tan,Male,Neutered,2014,8,25,17,12
A710318,Has Name,Transfer,Dog,260,Hybrid,Brown,Male,Neutered,2015,9,17,13,48
A698972,Has Name,Return_to_owner,Dog,312,Hybrid,Black,Female,Neutered,2015,3,23,17,50
A710380,No Name,Transfer,Cat,1,Hybrid,Brown,Female,Unknown,2015,8,22,15,44
A683309,No Name,Euthanasia,Dog,364,Hybrid,Tan,Female,Neutered,2014,7,17,18,6
A640316,Has Name,Adoption,Dog,52,Hybrid,Black,Male,Neutered,2013,10,2,17,43
A682760,Has Name,Adoption,Dog,52,Hybrid,White,Male,Neutered,2014,7,10,12,48
A701707,No Name,Transfer,Cat,2,Hybrid,Orange,Female,Intact,2015,5,3,17,24
A669534,No Name,Transfer,Cat,52,Hybrid,Orange,Female,Intact,2013,12,24,15,3
A588218,Has Name,Return_to_owner,Dog,260,Purebred,Black,Male,Neutered,2014,12,3,14,24
A669795,Has Name,Return_to_owner,Dog,104,Hybrid,Black,Female,Neutered,2014,8,11,11,12
A674448,Has Name,Adoption,Dog,45,Hybrid,White,Male,Neutered,2014,3,18,17,4
A701647,No Name,Transfer,Cat,13,Hybrid,Black,Female,Intact,2015,5,25,14,15
A672467,Has Name,Adoption,Dog,40,Hybrid,Fawn,Male,Neutered,2014,2,14,18,59
A712244,No Name,Transfer,Cat,4,Hybrid,Black,Female,Intact,2015,9,21,15,57
A677462,No Name,Transfer,Cat,0,Hybrid,Blue,Female,Unknown,2014,4,25,15,17
A715761,No Name,Transfer,Cat,260,Hybrid,Calico,Female,Neutered,2015,11,10,9,0
A720860,No Name,Adoption,Dog,36,Hybrid,Chocolate,Female,Neutered,2016,2,20,21,16
A701337,No Name,Transfer,Dog,52,Hybrid,Cream,Male,Intact,2015,4,30,14,43
A710881,Has Name,Adoption,Cat,9,Hybrid,Orange,Female,Neutered,2015,10,14,10,12
